source,target,salience
6,39,0.09090909090909091
6,44,0.010101010101010102
6,186,0.25252525252525254
6,55,0.005050505050505051
6,190,0.005050505050505051
6,173,0.06060606060606061
6,109,0.005050505050505051
56,169,0.41919191919191917
56,39,0.015151515151515152
56,16,0.025252525252525252
56,55,0.010101010101010102
56,40,0.010101010101010102
56,7,0.005050505050505051
56,41,0.08585858585858586
56,29,0.005050505050505051
56,30,0.005050505050505051
56,103,0.005050505050505051
56,107,0.005050505050505051
56,109,0.005050505050505051
56,111,0.005050505050505051
42,169,0.398989898989899
42,39,0.08585858585858586
42,44,0.045454545454545456
42,322,0.020202020202020204
42,55,0.010101010101010102
42,50,0.015151515151515152
42,46,0.010101010101010102
42,197,0.025252525252525252
42,109,0.015151515151515152
42,106,0.005050505050505051
58,44,0.06565656565656566
58,57,0.010101010101010102
58,40,0.005050505050505051
58,17,0.11616161616161616
58,18,0.005050505050505051
58,81,0.005050505050505051
58,41,0.696969696969697
58,54,0.005050505050505051
58,45,0.015151515151515152
58,108,0.010101010101010102
58,107,0.005050505050505051
169,39,0.005050505050505051
169,44,0.010101010101010102
169,136,0.025252525252525252
169,186,0.30808080808080807
169,55,0.005050505050505051
169,135,0.06060606060606061
169,170,0.030303030303030304
169,172,0.005050505050505051
169,270,0.005050505050505051
169,41,0.15656565656565657
169,185,0.005050505050505051
169,35,0.005050505050505051
169,12,0.005050505050505051
169,158,0.005050505050505051
169,177,0.06565656565656566
169,107,0.005050505050505051
169,102,0.005050505050505051
169,109,0.005050505050505051
39,136,0.0707070707070707
39,36,0.025252525252525252
39,7,0.005050505050505051
39,41,0.13131313131313133
39,38,0.005050505050505051
39,50,0.020202020202020204
39,138,0.005050505050505051
39,111,0.005050505050505051
44,322,0.15656565656565657
44,16,0.0707070707070707
44,55,0.010101010101010102
44,19,0.005050505050505051
44,50,0.08585858585858586
44,66,0.04040404040404041
44,150,0.0707070707070707
44,48,0.030303030303030304
44,34,0.010101010101010102
44,103,0.005050505050505051
322,136,0.08585858585858586
322,186,0.13636363636363635
322,135,0.25757575757575757
322,170,0.10606060606060606
322,17,0.050505050505050504
322,159,0.015151515151515152
322,122,0.005050505050505051
322,54,0.005050505050505051
322,184,0.020202020202020204
322,181,0.030303030303030304
322,165,0.045454545454545456
322,107,0.005050505050505051
322,102,0.005050505050505051
57,67,0.050505050505050504
57,30,0.005050505050505051
10,310,0.010101010101010102
10,60,0.03535353535353535
10,68,0.015151515151515152
10,73,0.06565656565656566
10,311,0.005050505050505051
